2024-09-04 22:55:02 configure libreadline8:amd64 8.2-1.3 <none>
2024-09-04 22:55:02 status unpacked libreadline8:amd64 8.2-1.3
2024-09-04 22:55:02 status half-configured libreadline8:amd64 8.2-1.3
2024-09-04 22:55:02 status installed libreadline8:amd64 8.2-1.3
2024-09-04 22:55:02 configure libldap-2.5-0:amd64 2.5.13+dfsg-5 <none>
2024-09-04 22:55:02 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-09-04 22:55:02 status half-configured libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-09-04 22:55:02 status installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-09-04 22:55:02 configure ca-certificates:all 20230311 <none>
2024-09-04 22:55:02 status unpacked ca-certificates:all 20230311
2024-09-04 22:55:02 status half-configured ca-certificates:all 20230311
2024-09-04 22:55:03 status installed ca-certificates:all 20230311
2024-09-04 22:55:03 status triggers-pending ca-certificates:all 20230311
2024-09-04 22:55:03 configure libgssapi-krb5-2:amd64 1.20.1-2+deb12u2 <none>
2024-09-04 22:55:03 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-09-04 22:55:03 status half-configured libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-09-04 22:55:03 status installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-09-04 22:55:03 configure gpgconf:amd64 2.2.40-1.1 <none>
2024-09-04 22:55:03 status unpacked gpgconf:amd64 2.2.40-1.1
2024-09-04 22:55:03 status half-configured gpgconf:amd64 2.2.40-1.1
2024-09-04 22:55:03 status installed gpgconf:amd64 2.2.40-1.1
2024-09-04 22:55:03 configure libcurl4:amd64 7.88.1-10+deb12u7 <none>
2024-09-04 22:55:03 status unpacked libcurl4:amd64 7.88.1-10+deb12u7
2024-09-04 22:55:03 status half-configured libcurl4:amd64 7.88.1-10+deb12u7
2024-09-04 22:55:03 status installed libcurl4:amd64 7.88.1-10+deb12u7
2024-09-04 22:55:03 configure curl:amd64 7.88.1-10+deb12u7 <none>
2024-09-04 22:55:03 status unpacked curl:amd64 7.88.1-10+deb12u7
2024-09-04 22:55:03 status half-configured curl:amd64 7.88.1-10+deb12u7
2024-09-04 22:55:03 status installed curl:amd64 7.88.1-10+deb12u7
2024-09-04 22:55:03 configure gpg:amd64 2.2.40-1.1 <none>
2024-09-04 22:55:03 status unpacked gpg:amd64 2.2.40-1.1
2024-09-04 22:55:03 status half-configured gpg:amd64 2.2.40-1.1
2024-09-04 22:55:03 status installed gpg:amd64 2.2.40-1.1
2024-09-04 22:55:03 configure gnupg-utils:amd64 2.2.40-1.1 <none>
2024-09-04 22:55:03 status unpacked gnupg-utils:amd64 2.2.40-1.1
2024-09-04 22:55:03 status half-configured gnupg-utils:amd64 2.2.40-1.1
2024-09-04 22:55:03 status installed gnupg-utils:amd64 2.2.40-1.1
2024-09-04 22:55:03 configure gpg-agent:amd64 2.2.40-1.1 <none>
2024-09-04 22:55:03 status unpacked gpg-agent:amd64 2.2.40-1.1
2024-09-04 22:55:03 status half-configured gpg-agent:amd64 2.2.40-1.1
2024-09-04 22:55:04 status installed gpg-agent:amd64 2.2.40-1.1
2024-09-04 22:55:04 configure gpgsm:amd64 2.2.40-1.1 <none>
2024-09-04 22:55:04 status unpacked gpgsm:amd64 2.2.40-1.1
2024-09-04 22:55:04 status half-configured gpgsm:amd64 2.2.40-1.1
2024-09-04 22:55:04 status installed gpgsm:amd64 2.2.40-1.1
2024-09-04 22:55:04 configure dirmngr:amd64 2.2.40-1.1 <none>
2024-09-04 22:55:04 status unpacked dirmngr:amd64 2.2.40-1.1
2024-09-04 22:55:04 status half-configured dirmngr:amd64 2.2.40-1.1
2024-09-04 22:55:04 status installed dirmngr:amd64 2.2.40-1.1
2024-09-04 22:55:04 configure gpg-wks-server:amd64 2.2.40-1.1 <none>
2024-09-04 22:55:04 status unpacked gpg-wks-server:amd64 2.2.40-1.1
2024-09-04 22:55:04 status half-configured gpg-wks-server:amd64 2.2.40-1.1
2024-09-04 22:55:04 status installed gpg-wks-server:amd64 2.2.40-1.1
2024-09-04 22:55:04 configure gpg-wks-client:amd64 2.2.40-1.1 <none>
2024-09-04 22:55:04 status unpacked gpg-wks-client:amd64 2.2.40-1.1
2024-09-04 22:55:04 status half-configured gpg-wks-client:amd64 2.2.40-1.1
2024-09-04 22:55:04 status installed gpg-wks-client:amd64 2.2.40-1.1
2024-09-04 22:55:04 configure gnupg:all 2.2.40-1.1 <none>
2024-09-04 22:55:04 status unpacked gnupg:all 2.2.40-1.1
2024-09-04 22:55:04 status half-configured gnupg:all 2.2.40-1.1
2024-09-04 22:55:04 status installed gnupg:all 2.2.40-1.1
2024-09-04 22:55:04 trigproc libc-bin:amd64 2.36-9+deb12u8 <none>
2024-09-04 22:55:04 status half-configured libc-bin:amd64 2.36-9+deb12u8
2024-09-04 22:55:04 status installed libc-bin:amd64 2.36-9+deb12u8
2024-09-04 22:55:04 trigproc ca-certificates:all 20230311 <none>
2024-09-04 22:55:04 status half-configured ca-certificates:all 20230311
2024-09-04 22:55:04 status installed ca-certificates:all 20230311
2024-09-04 22:55:13 startup archives unpack
2024-09-04 22:55:13 install perl-modules-5.36:all <none> 5.36.0-7+deb12u1
2024-09-04 22:55:13 status half-installed perl-modules-5.36:all 5.36.0-7+deb12u1
2024-09-04 22:55:13 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u1
2024-09-04 22:55:13 install libgdbm6:amd64 <none> 1.23-3
2024-09-04 22:55:13 status triggers-pending libc-bin:amd64 2.36-9+deb12u8
2024-09-04 22:55:13 status half-installed libgdbm6:amd64 1.23-3
2024-09-04 22:55:13 status unpacked libgdbm6:amd64 1.23-3
2024-09-04 22:55:13 install libgdbm-compat4:amd64 <none> 1.23-3
2024-09-04 22:55:13 status half-installed libgdbm-compat4:amd64 1.23-3
2024-09-04 22:55:13 status unpacked libgdbm-compat4:amd64 1.23-3
2024-09-04 22:55:13 install libperl5.36:amd64 <none> 5.36.0-7+deb12u1
2024-09-04 22:55:13 status half-installed libperl5.36:amd64 5.36.0-7+deb12u1
2024-09-04 22:55:14 status unpacked libperl5.36:amd64 5.36.0-7+deb12u1
2024-09-04 22:55:14 install perl:amd64 <none> 5.36.0-7+deb12u1
2024-09-04 22:55:14 status half-installed perl:amd64 5.36.0-7+deb12u1
2024-09-04 22:55:14 status unpacked perl:amd64 5.36.0-7+deb12u1
2024-09-04 22:55:14 install libpython3.11-minimal:amd64 <none> 3.11.2-6+deb12u3
2024-09-04 22:55:14 status half-installed libpython3.11-minimal:amd64 3.11.2-6+deb12u3
2024-09-04 22:55:14 status unpacked libpython3.11-minimal:amd64 3.11.2-6+deb12u3
2024-09-04 22:55:14 install libexpat1:amd64 <none> 2.5.0-1
2024-09-04 22:55:14 status half-installed libexpat1:amd64 2.5.0-1
2024-09-04 22:55:14 status unpacked libexpat1:amd64 2.5.0-1
2024-09-04 22:55:14 install python3.11-minimal:amd64 <none> 3.11.2-6+deb12u3
2024-09-04 22:55:14 status half-installed python3.11-minimal:amd64 3.11.2-6+deb12u3
2024-09-04 22:55:14 status unpacked python3.11-minimal:amd64 3.11.2-6+deb12u3
2024-09-04 22:55:14 startup packages configure
2024-09-04 22:55:14 configure libpython3.11-minimal:amd64 3.11.2-6+deb12u3 <none>
2024-09-04 22:55:14 status unpacked libpython3.11-minimal:amd64 3.11.2-6+deb12u3
2024-09-04 22:55:14 status half-configured libpython3.11-minimal:amd64 3.11.2-6+deb12u3
2024-09-04 22:55:14 status installed libpython3.11-minimal:amd64 3.11.2-6+deb12u3
2024-09-04 22:55:14 configure libexpat1:amd64 2.5.0-1 <none>
2024-09-04 22:55:14 status unpacked libexpat1:amd64 2.5.0-1
2024-09-04 22:55:14 status half-configured libexpat1:amd64 2.5.0-1
2024-09-04 22:55:14 status installed libexpat1:amd64 2.5.0-1
2024-09-04 22:55:14 configure python3.11-minimal:amd64 3.11.2-6+deb12u3 <none>
2024-09-04 22:55:14 status unpacked python3.11-minimal:amd64 3.11.2-6+deb12u3
2024-09-04 22:55:14 status half-configured python3.11-minimal:amd64 3.11.2-6+deb12u3
2024-09-04 22:55:15 status installed python3.11-minimal:amd64 3.11.2-6+deb12u3
2024-09-04 22:55:15 startup archives unpack
2024-09-04 22:55:15 install python3-minimal:amd64 <none> 3.11.2-1+b1
2024-09-04 22:55:15 status half-installed python3-minimal:amd64 3.11.2-1+b1
2024-09-04 22:55:15 status unpacked python3-minimal:amd64 3.11.2-1+b1
2024-09-04 22:55:15 install media-types:all <none> 10.0.0
2024-09-04 22:55:15 status half-installed media-types:all 10.0.0
2024-09-04 22:55:15 status unpacked media-types:all 10.0.0
2024-09-04 22:55:15 install libtirpc-common:all <none> 1.3.3+ds-1
2024-09-04 22:55:15 status half-installed libtirpc-common:all 1.3.3+ds-1
2024-09-04 22:55:15 status unpacked libtirpc-common:all 1.3.3+ds-1
2024-09-04 22:55:15 install libtirpc3:amd64 <none> 1.3.3+ds-1
2024-09-04 22:55:15 status half-installed libtirpc3:amd64 1.3.3+ds-1
2024-09-04 22:55:15 status unpacked libtirpc3:amd64 1.3.3+ds-1
2024-09-04 22:55:15 install libnsl2:amd64 <none> 1.3.0-2
2024-09-04 22:55:15 status half-installed libnsl2:amd64 1.3.0-2
2024-09-04 22:55:15 status unpacked libnsl2:amd64 1.3.0-2
2024-09-04 22:55:15 install libpython3.11-stdlib:amd64 <none> 3.11.2-6+deb12u3
2024-09-04 22:55:15 status half-installed libpython3.11-stdlib:amd64 3.11.2-6+deb12u3
2024-09-04 22:55:15 status unpacked libpython3.11-stdlib:amd64 3.11.2-6+deb12u3
2024-09-04 22:55:15 install python3.11:amd64 <none> 3.11.2-6+deb12u3
2024-09-04 22:55:15 status half-installed python3.11:amd64 3.11.2-6+deb12u3
2024-09-04 22:55:15 status unpacked python3.11:amd64 3.11.2-6+deb12u3
2024-09-04 22:55:15 install libpython3-stdlib:amd64 <none> 3.11.2-1+b1
2024-09-04 22:55:15 status half-installed libpython3-stdlib:amd64 3.11.2-1+b1
2024-09-04 22:55:15 status unpacked libpython3-stdlib:amd64 3.11.2-1+b1
2024-09-04 22:55:15 startup packages configure
2024-09-04 22:55:15 configure python3-minimal:amd64 3.11.2-1+b1 <none>
2024-09-04 22:55:15 status unpacked python3-minimal:amd64 3.11.2-1+b1
2024-09-04 22:55:15 status half-configured python3-minimal:amd64 3.11.2-1+b1
2024-09-04 22:55:15 status installed python3-minimal:amd64 3.11.2-1+b1
2024-09-04 22:55:15 startup archives unpack
2024-09-04 22:55:15 install python3:amd64 <none> 3.11.2-1+b1
2024-09-04 22:55:15 status half-installed python3:amd64 3.11.2-1+b1
2024-09-04 22:55:15 status unpacked python3:amd64 3.11.2-1+b1
2024-09-04 22:55:15 install libproc2-0:amd64 <none> 2:4.0.2-3
2024-09-04 22:55:15 status half-installed libproc2-0:amd64 2:4.0.2-3
2024-09-04 22:55:15 status unpacked libproc2-0:amd64 2:4.0.2-3
2024-09-04 22:55:15 install procps:amd64 <none> 2:4.0.2-3
